,text,start,duration
0,"- I can't believe I'm about to say this,",0.18,1.71
1,but hello from India.,1.89,2.389
2,(light ethereal music),4.279,3.333
3,I've made it to the beautiful state,36.72,1.53
4,of Kerala here in India.,38.25,1.53
5,"Thanks to Kerala tourism who's
hosting me for this trip.",39.78,3.33
6,It's my first time in India.,43.11,1.62
7,I am so excited to be here,44.73,2.04
8,and I'm going to be spending the next week,46.77,1.68
9,traveling through Kerala with a guide.,48.45,1.89
10,Kerala is popular vacation destination.,50.34,2.46
11,It's really scenic.,52.8,1.26
12,"There's a lot of coastline,",54.06,1.35
13,"there's mountains,",55.41,0.96
14,there's some wildlife.,56.37,1.26
15,"This morning I'm in the city of Kochi,",57.63,1.86
16,"and we have a bit of a
drive ahead of us today.",59.49,2.31
17,It's gonna be at least four hours.,61.8,2.13
18,We're heading into the mountains,63.93,1.17
19,"to the town of Munnar
and it looks incredible.",65.1,3.443
20,(light ethereal music),68.543,3.25
21,This morning has been exciting.,88.35,1.32
22,It's been a bit of a rush.,89.67,0.99
23,I poked my head outside of my tent,90.66,1.62
24,at like 5:50 PM,92.28,1.86
25,just to check what the weather was doing.,94.14,1.56
26,It was about 20 minutes before sunrise,95.7,1.59
27,"and I didn't know if it
was gonna be rained out,",97.29,2.25
28,and there was a cloud inversion,99.54,1.47
29,in the mountains this morning.,101.01,1.11
30,"So I threw all my stuff in the bag,",102.12,1.77
31,"sprinted out my door to try
and catch it for sunrise.",103.89,3.33
32,"It is so beautiful and
pristine up in these mountains.",107.22,3.69
33,It feels like I'm sitting up in a cloud.,110.91,2.01
34,There's patches of fog among the hills,112.92,1.95
35,and we're staying in these tents,114.87,1.44
36,"that are tucked into the mountainside,",116.31,1.56
37,"so it feels so immersive
and it's so quiet.",117.87,3.603
38,The next day we headed down the mountain,124.53,1.59
39,"which was one of the most
scenic drives of the trip.",126.12,3.21
40,"Every five minutes I wanted
to stop and take pictures",129.33,2.85
41,and we made it to Thekkady,132.18,1.35
42,to visit Periyar National Park,133.53,2.01
43,for a boat safari trip.,135.54,1.71
44,"And if you like monkeys,
this is the place for you.",137.25,2.4
45,These guys are everywhere,139.65,1.38
46,"around the boat launch
and they're not shy.",141.03,2.07
47,You can sit just a few feet away from them,143.1,2.19
48,and take pictures.,145.29,1.421
49,(light upbeat music),146.711,3.083
50,"A boat safari is such a
great way to see wildlife.",151.05,2.61
51,"Because in the park, all animals",153.66,1.89
52,"eventually come down
to the water to drink.",155.55,2.67
53,"So you have a chance
to see everything here.",158.22,1.8
54,"And if you're lucky,",160.02,0.9
55,"you can even spot elephants
and tigers in this park.",160.92,3.065
56,(light upbeat music),163.985,3.083
57,"I've made it to the
Misty Mountain Experience",173.34,2.37
58,"in Peermade, which is
a beautiful property.",175.71,2.58
59,"And I'm staying in the
cutest little cabin-like room",178.29,3.75
60,"with this beautiful
balcony I can sit out on.",182.04,2.55
61,And here I'm going to be learning more,184.59,1.47
62,about the tea making process.,186.06,1.56
63,"And then this afternoon,",187.62,1.02
64,I'm going out on a jeep ride,188.64,1.41
65,to explore the property some more.,190.05,2.1
66,"So one of the experiences at
the Misty Mountain Experience",192.15,3.66
67,is a tea factory tour,195.81,1.53
68,so you can see how it's all made.,197.34,1.56
69,And one of the very basic things about tea,198.9,2.64
70,that I didn't know before this tour,201.54,1.71
71,is that both black and green tea,203.25,2.49
72,come from the same plant.,205.74,1.35
73,And it requires a specific temperature,207.09,1.98
74,"and humidity to thrive,",209.07,1.29
75,"which is what makes this
region and property so special.",210.36,3.51
76,"But something else that
makes the property incredible",213.87,3.21
77,is it's perched on a mountainside,217.08,1.86
78,with waterfalls running down it.,218.94,2.22
79,Guests can go on a scenic jeep ride,221.16,1.83
80,and the views are so beautiful.,222.99,2.423
81,(light upbeat music),225.413,3.083
82,"Today, I've made it to Alleppey,",233.94,2.13
83,and I'm doing one of the coolest things,236.07,1.947
84,"I've ever done traveling,",238.017,1.893
85,"I'm staying on a private
houseboat tonight.",239.91,2.49
86,So it's just me and my guide,242.4,1.44
87,"and a few crew members
here to operate the boat",243.84,2.82
88,and cook and keep everything running.,246.66,1.98
89,"And it is so cool and it has
been so relaxing to sit here",248.64,4.544
90,"and drift through the back
waters and take in the scenery.",253.184,3.52
91,(light ethereal music),256.704,3.25
92,"The next day was the Champions
Boat League snake-boat races.",280.68,3.42
93,This event is an annual series of races,284.1,2.58
94,on the backwaters of Kerala,286.68,1.59
95,"with teams of rowers racing
these long skinny boats",288.27,2.91
96,called snake boats because of the shape.,291.18,2.1
97,And it's a big deal.,293.28,1.11
98,"People line the banks of
the backwaters for it.",294.39,3.5
99,(horns honking),297.89,2.667
100,One of the highlights of this day,305.786,1.624
101,was that one of the families,307.41,1.68
102,that live on the water,309.09,1.05
103,"invited me into their home for lunch,",310.14,2.28
104,and they were so kind.,312.42,1.868
105,It's traditional to eat everything,314.288,1.822
106,"with your hands in India,",316.11,1.17
107,even rice and sauce.,317.28,1.59
108,So they were coaching me on how to do it,318.87,2.46
109,and I think they found it kind of amusing,321.33,1.98
110,to see me try it for the first time.,323.31,2.01
111,"And it was just such a
wonderful experience.",325.32,2.944
112,(light upbeat music),328.264,3.083
113,I've made it to paradise.,338.28,1.68
114,"This property that I'm
staying at is kind of like",339.96,2.79
115,if a hotel and an Airbnb were mixed.,342.75,2.88
116,"I'm the only guest here,",345.63,1.41
117,"so I have the entire property to myself,",347.04,2.76
118,but there's also staff here.,349.8,1.86
119,"It's like a private stay,
it's called vismaya.",351.66,2.7
